Latitud,Longitud,Altitud,Limite
43.391264,-5.801079,173.2862721503871,30
43.391468,-5.801223,174.6766786202788,30
43.391768,-5.801411,174.9100775970146,30
43.392097,-5.801549,175.4675523051992,30
43.39219,-5.801838,174.6787773203105,30
43.392091,-5.802117,174.6218505902216,30
43.392029,-5.802437,174.8956168377772,30
43.391929,-5.802772,175.2724560108036,30
43.391746,-5.80312,175.396753099747,30
43.391587,-5.803391,173.9241051021963,30
43.391521,-5.803765,173.1439117807895,40
43.391702,-5.803995,173.5851919092238,40
43.391608,-5.804345,173.6545990938321,40
43.391336,-5.804537,173.5430060308427,50
43.391149,-5.804765,173.5826874403283,50
43.390955,-5.80502,172.4374161697924,50
43.390719,-5.805261,172.7348168874159,50
43.390506,-5.805509,171.9668069882318,50
43.390301,-5.805754,171.1944854445755,50
43.390094,-5.805994,170.5229803230613,50
43.389893,-5.806235,169.2917851209641,50
43.389684,-5.806444,168.7992813456804,50
43.38949,-5.80665,168.2228646520525,50
43.389303,-5.806833,168.2199017191306,50
43.388976,-5.8071,167.9087474616244,40
43.388773,-5.807356,167.1003944259137,40
43.388597,-5.807597,166.6479760687798,40
43.38832,-5.807486,166.8676801631227,40
43.387998,-5.807692,166.7433000151068,40
43.387777,-5.807941,167.5101149203256,40
43.387537,-5.808199,167.6010423181579,40
43.387292,-5.808443,167.2344970703125,50
43.387057,-5.808682,167.5668138219044,50
43.386836,-5.808918,166.8910588286817,50
43.386667625905886,-5.809118578890227,166.01692263549194,0
43.386338,-5.809368,165.1427864423022,50
43.386037,-5.809432,165.9132477268577,50
43.38581,-5.809413,166.0936301276088,50
43.385562,-5.809665,167.2776071568951,30
43.385734,-5.8099,166.9423075132072,50
43.38593,-5.810172,170.0917267818004,50
43.386157,-5.810489,172.4047704217955,50
43.386363,-5.810775,172.641068351455,50
43.386596,-5.811082,172.4678992219269,50
43.386808,-5.811364,170.9072809014469,50
43.386987,-5.811597,166.8477362757549,50
43.387318,-5.811726,165.6864853594452,50
43.387417,-5.812029,165.2718027997762,50
43.387238,-5.812246,164.9991851206869,50
43.387011,-5.812222,165.2327740006149,50
43.386751,-5.812463,163.960872056894,50
43.386529,-5.812764,162.6834325585514,50
43.3864,-5.813127,161.2784334989265,50
43.386332,-5.813444,160.098024437204,50
43.386283,-5.813754,160.8203745000064,50
43.386225,-5.814185,161.8891762774438,50
43.386084,-5.814585,163.8573382431641,50
43.38602,-5.814959,163.5932929646224,50
43.385945,-5.815304,163.7770017310977,50
43.385862,-5.815735,163.7671659169719,50
43.385786,-5.816079,163.717212902382,50
43.38574358801743,-5.816384265009034,163.4767686920241,0
43.385656,-5.816837,163.4400627920404,50
43.385579,-5.817168,163.8479943014681,30
43.385467,-5.8175,164.3009287565947,50
43.385423,-5.817935,164.7869412982836,50
43.385657,-5.818181,165.378382130526,30
43.385872,-5.81839,165.9714090870693,30
43.386076,-5.818682,165.4891535425559,30
43.386178,-5.819067,162.8771825768054,30
43.386264,-5.819453,163.6250267690048,30
43.386324471734845,-5.819999882771146,164.353565803729,0
